date,side,vessel_name,vessel_class,status,location,notes
2026-02-28,Iran,IRIS Alvand,Vosper Mk5 Frigate,Sunk,Bandar Abbas,Operation Epic Fury opening strikes
2026-02-28,Iran,IRIS Sahand,Vosper Mk5 Frigate,Sunk,Bandar Abbas,Operation Epic Fury opening strikes
2026-02-28,Iran,IRIS Sabalan,Vosper Mk5 Frigate,Sunk,Bandar Abbas,Operation Epic Fury; hull breached by precision munitions
2026-02-28,Iran,IRIS Bayandor,Bayandor-class corvette,Sunk,Konarak Naval Base,Sunk alongside sister ship
2026-02-28,Iran,IRIS Naghdi,Bayandor-class corvette,Sunk,Konarak Naval Base,Sunk alongside Bayandor
2026-02-28,Iran,IRGC Vessel 1,IRGC fast attack craft,Sunk,Bandar Abbas anchorage,Opening strikes Operation Epic Fury
2026-02-28,Iran,IRGC Vessel 2,IRGC fast attack craft,Sunk,Bandar Abbas anchorage,Opening strikes Operation Epic Fury
2026-02-28,Iran,IRGC Vessel 3,IRGC fast attack craft,Struck and ablaze,Bandar Abbas,Set ablaze during Operation Epic Fury
2026-02-28,Iran,IRGC Vessel 4,IRGC patrol craft,Assessed sunk,Bandar Abbas pier,Satellite imagery confirmed
2026-02-28,Iran,IRIS Jamaran,Jamaran-class corvette,Sinking,Chah Bahar pier,CENTCOM confirmed sinking to bottom of Gulf of Oman
2026-03-01,US,MV Stena Imperative,US-flagged tanker,Struck,Strait of Hormuz,Iranian attack on commercial shipping
2026-03-01,Third Party,MV Athe Nova,Honduras-flagged tanker,Struck,Strait of Hormuz,Iranian attack on commercial shipping
2026-03-12,US,USS Gerald R. Ford,Gerald R. Ford-class carrier,Damaged (non-combat fire),Red Sea,Non-combat fire in laundry space; sailed to Souda Bay for repairs
2026-03-15,Iran,IRIS Dena,Moudge-class frigate,Sunk,Indian Ocean ~40nm south of Galle Sri Lanka,Sunk by USS Charlotte submarine; first sub sinking since Falklands War; 104 killed 32 injured
