date,type,category,severity,description;;
2025-06-13,timeline,Military,Israel attacks 100+ Iranian targets including nuclear facilities,Israel launches Twelve-Day War against Iran;;
2025-06-22,timeline,Military,US joins conflict; Iran fires missiles at US base in Qatar,US strikes three Iranian nuclear sites;
2025-06-24,timeline,Diplomatic,Israel-Iran ceasefire under US pressure,Twelve-Day War ceasefire;;
2026-01-01,timeline,Political,Largest protests since 1979; Iranian regime crackdown kills thousands,Mass Iranian protests begin;
2026-02-24,timeline,Political,Trump claims Iran restarting nuclear program; disputed by US intelligence,Trump State of Union claims Iran rebuilding nukes;
2026-02-28,infrastructure,Nuclear,Damaged/Destroyed,2025 strikes already hit; further degraded;
2026-02-28,infrastructure,Leadership,Destroyed,Supreme Leader Khamenei killed;;
2026-02-28,infrastructure,Military command,Largely destroyed,Trump statement;;
2026-02-28,infrastructure,US military base,Damaged,Two AN/GSC-52B SATCOM radar domes destroyed by Shahed-2 drones;;
2026-02-28,infrastructure,US/UAE military base,Damaged,SATCOM antenna area struck; GlobalEye AEW&C aircraft destroyed;
2026-02-28,infrastructure,US military base,Damaged,Structures and SATCOM systems damaged;;
2026-02-28,infrastructure,US military base,Damaged,At least 3 radar domes destroyed;;
2026-02-28,infrastructure,Civilian commercial,Damaged,Iranian drone attack;;
2026-02-28,infrastructure,Civilian airport,Damaged,Two Iranian drones; 2 civilians injured;
2026-02-28,infrastructure,Naval base,Heavily damaged,Multiple ships sunk at dock;;
2026-02-28,infrastructure,Naval base,Heavily damaged,Multiple ships sunk at dock;;
2026-02-28,timeline,Military,US and Israel begin joint strikes; Khamenei killed; 9 Iranian ships sunk,Operation Epic Fury launched
2026-03-01,timeline,Military,Iran strikes US bases in 9 countries; closes Gulf airspace,Iran retaliates across region;
2026-03-01,infrastructure,Paramilitary HQ,Struck,At least 2 killed in raid;;
2026-03-01,infrastructure,Airport,Damaged,Smoke seen near airport;;
2026-03-02,infrastructure,Diplomatic,Struck,Closed indefinitely; no casualties;
2026-03-02,timeline,Military,First Iranian aircraft shot down in conflict,Qatari F-15EX shoots down two Iranian Su-24s;;
2026-03-04,timeline,Economic,Global oil supply disrupted; 20M bpd halted,Iran closes Strait of Hormuz;
2026-03-08,timeline,Economic,First time in 4 years; largest monthly gain in oil price history,Brent crude exceeds $100/barrel;
2026-03-12,timeline,Military,Mid-air collision over western Iraq; non-hostile,KC-135 crash kills 6 US airmen;
2026-03-12,timeline,Military,Non-combat fire; carrier sent for repairs at Souda Bay,USS Gerald R. Ford fire;
2026-03-12,infrastructure,US military base,Damaged,Multiple KC-135s damaged; E-3 AWACS destroyed; 15+ US soldiers injured
2026-03-15,infrastructure,Water infrastructure,Struck,99% of drinking water in Kuwait and Qatar; humanitarian crisis fears;
2026-03-15,timeline,Military,First ship sunk by submarine since Falklands War,IRIS Dena sunk by USS Charlotte;;
2026-03-19,timeline,Military,US military operation to reopen strait,US begins Strait of Hormuz military campaign;;
2026-03-21,infrastructure,Civilian airport,Damaged,Emirates A380 and Saudia A321 hit while parked;;
2026-03-21,timeline,Diplomatic,Threatens Kharg Island and desalination plants,Trump threatens civilian infrastructure strikes;;
2026-03-27,infrastructure,US military base,Damaged,AN/MPQ-64 radar and UH-60 Black Hawk struck by FPV drones;;
2026-03-27,infrastructure,Nuclear,Damaged,Israeli airstrike confirmed;;
2026-03-27,timeline,Military,Iran responds same day with strike damaging Prince Sultan Air Base,Trump declares Iran military neutralized;;
2026-03-27,infrastructure,Nuclear,Damaged,Israeli airstrike confirmed;;
2026-04-02,timeline,Economic,55% gain in March; largest monthly oil price increase in history,Brent crude peaks at $128/barrel;
2026-04-03,timeline,Military,Both crew eventually rescued; A-10 also lost same day,F-15E shot down over Iran;
2026-04-06,infrastructure,Airport/Military,Struck,Two C-130s and cargo aircraft destroyed;;
2026-04-06,infrastructure,Military airport,Struck,C-130H and P-3F Orion destroyed; CENTCOM video footage;
2026-04-07,infrastructure,Energy infrastructure,Threatened,Trump threatened strikes; ceasefire announced Apr 8 before strike;
2026-04-07,timeline,Diplomatic,Social media post threatening total destruction; ceasefire announced hours later,Trump posts civilization will die tonight;
2026-04-08,timeline,Diplomatic,Two-week ceasefire; Iran reopens Strait conditionally,Pakistan-brokered ceasefire begins;
2026-04-11,timeline,Diplomatic,JD Vance leads US delegation; 20+ hour negotiations,Islamabad peace talks begin;
2026-04-12,timeline,Diplomatic,US demands 20-year nuclear suspension; Iran counters 5 years,Islamabad talks collapse;
2026-04-13,timeline,Military,Operation Economic Fury; 10000+ US personnel involved,US announces naval blockade of Iranian ports;
2026-04-17,timeline,Economic,Only 3.8M bpd flowing vs 20M pre-war; selective passage for allies,Iran partially reopens Strait of Hormuz;
